"x_wgs84"	"y_wgs84"	"x_l2e"	"y_l2e"	"MMTP_2007"	"MMTP_2008"	"MMTP_2009"	"MMTP_2010"	"MMTP_2011"	"MMTP_2012"	"MMTP_2013"	"MMTP_2014"	"MMTP_2015"	"MMTP_2016"	"MMTP_2017"
9.63098	41.3702	1211970	1624290	27.936	24.932	24.65	26.432	25.38	25.915	25.394	26.071	27.393	27.587	27.587
9.86906	41.3708	1231880	1626240	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10.1071	41.3709	1251770	1628190	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10.3452	41.3703	1271660	1630140	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10.5833	41.3692	1291570	1632080	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10.8213	41.3675	1311480	1634020	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
-3.15424	40.6767	133581	1534790	26.48	26.244	25.715	26.748	25.182	26.366	25.391	26.657	28.211	28.298	28.298
-2.92121	40.7077	153576	1536890	26.634	26.225	25.727	26.733	25.223	26.355	25.519	26.752	28.255	28.368	28.368
-2.68797	40.7382	173566	1538990	26.636	25.996	25.559	26.498	25.035	26.069	25.438	26.593	28.04	28.216	28.216
-2.45454	40.7681	193554	1541090	26.602	25.725	25.399	26.234	24.8	25.751	25.308	26.363	27.707	27.941	27.941
-2.22091	40.7975	213538	1543180	26.251	25.268	24.948	25.751	24.325	25.198	24.852	25.858	27.208	27.488	27.488
-1.98704	40.8263	233523	1545280	26.082	24.958	24.634	25.448	24.022	24.818	24.601	25.561	26.898	27.248	27.248
-1.75293	40.8546	253509	1547370	26.106	24.888	24.569	25.425	23.994	24.706	24.661	25.558	26.858	27.303	27.303
-1.51863	40.8823	273492	1549450	26.472	25.184	24.894	25.827	24.391	25.003	25.187	25.996	27.231	27.8	27.8
-1.28436	40.9094	293470	1551540	26.355	25.057	24.769	25.755	24.311	24.829	25.151	25.922	27.122	27.756	27.756
-1.05	40.936	313440	1553620	25.68	24.417	24.1	25.093	23.645	24.081	24.412	25.209	26.416	27.037	27.037
-0.815286	40.9621	333404	1555690	27.699	26.192	25.982	27.19	25.692	26.019	26.701	27.399	28.544	29.31	29.31
-0.580378	40.9876	353367	1557770	28.632	26.952	26.81	28.072	26.614	26.828	27.589	28.226	29.342	30.12	30.12
-0.345259	41.0125	373332	1559840	29.508	27.711	27.596	28.886	27.485	27.629	28.41	28.988	30.077	30.868	30.868
-0.109957	41.0369	393295	1561910	30.041	28.194	28.065	29.352	27.997	28.118	28.881	29.411	30.5	31.318	31.318
0.1255	41.0607	413255	1563980	30.051	28.179	28.008	29.276	27.937	28.059	28.794	29.297	30.416	31.275	31.275
0.360911	41.084	433211	1566040	29.895	27.966	27.755	28.99	27.678	27.793	28.518	29.035	30.161	31.039	31.039
0.596466	41.1067	453160	1568110	30.105	28.023	27.801	28.997	27.723	27.821	28.566	29.07	30.227	31.145	31.145
0.832302	41.1289	473106	1570170	29.91	27.645	27.394	28.57	27.282	27.359	28.135	28.62	29.872	30.865	30.865
1.06828	41.1504	493048	1572220	29.641	27.103	26.847	27.983	26.686	26.719	27.55	28.05	29.408	30.469	30.469
1.30441	41.1715	512989	1574280	29.914	27.095	26.882	27.96	26.702	26.686	27.576	28.102	29.509	30.604	30.604
1.54067	41.1919	532927	1576330	28.257	25.748	25.249	26.693	25.228	25.217	26.005	26.417	27.81	28.724	28.724
1.77707	41.2118	552863	1578380	28.212	25.684	25.169	26.646	25.212	25.165	25.94	26.361	27.71	28.546	28.546
2.0136	41.2312	572797	1580420	28.189	25.667	25.137	26.654	25.251	25.17	25.922	26.341	27.64	28.391	28.391
2.25026	41.25	592730	1582470	28.15	25.463	25.033	26.512	25.12	25.001	25.799	26.542	27.543	28.265	28.265
2.48704	41.2682	612660	1584500	28.179	25.44	25.053	26.507	25.148	25.001	25.797	26.622	27.554	28.255	28.255
2.72395	41.2858	632588	1586540	28.356	25.561	25.233	26.648	25.341	25.159	25.951	26.859	27.711	28.392	28.392
2.96097	41.3029	652515	1588580	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3.1981	41.3195	672440	1590610	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3.43535	41.3354	692363	1592640	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3.6727	41.3508	712285	1594660	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3.91015	41.3656	732205	1596680	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4.14771	41.3799	752124	1598700	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4.38535	41.3936	772041	1600720	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4.62309	41.4067	791957	1602730	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4.86092	41.4193	811872	1604750	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5.09883	41.4313	831786	1606750	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5.33682	41.4427	851698	1608760	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5.57488	41.4536	871610	1610760	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5.81302	41.4639	891520	1612760	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6.05123	41.4736	911430	1614760	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6.2895	41.4827	931339	1616750	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6.52783	41.4913	951247	1618740	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6.76622	41.4993	971155	1620730	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7.00466	41.5068	991061	1622710	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7.24315	41.5137	1010970	1624700	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7.48169	41.52	1030870	1626670	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7.72027	41.5257	1050780	1628650	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7.95888	41.5309	1070680	1630620	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8.19753	41.5355	1090590	1632590	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8.43621	41.5395	1110490	1634560	26.635	23.344	23.231	24.752	23.526	24.06	23.769	24.371	26.461	26.826	26.826
8.67491	41.5429	1130400	1636530	26.269	22.95	22.898	24.433	23.232	23.758	23.384	24.024	26.096	26.465	26.465
8.91363	41.5458	1150300	1638490	25.922	22.574	22.577	24.122	22.967	23.46	23.026	23.706	25.762	26.143	26.143
9.15238	41.5481	1170210	1640450	26.201	22.943	22.922	24.473	23.366	23.813	23.388	24.08	26.041	26.425	26.425
9.39113	41.5499	1190110	1642400	26.215	23.004	22.973	24.508	23.48	23.848	23.461	24.163	26.077	26.483	26.483
9.6299	41.551	1210010	1644350	27.27	24.199	24.022	25.549	24.412	24.862	24.595	25.214	27.086	27.453	27.453
9.86867	41.5516	1229920	1646300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10.1074	41.5517	1249810	1648250	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
