qd;quadrat;xl2e;yl2e;annee;nb_frenaie;volume17
0311-2300;NOZAY                                                       ;311000;2300000;;0;0
0311-2316;ROUGE                                                       ;311000;2316000;;0;63,6604
0311-2332;JANZE                                                       ;311000;2332000;;0;18,5186
0311-2348;CESSON-SEVIGNE                                              ;311000;2348000;2017;0;0
0311-2364;LIFFRE                                                      ;311000;2364000;2017;0;0
0311-2380;SENS-DE-BRETAGNE                                            ;311000;2380000;2017;0;0
0311-2396;PLEINE-FOUGERES                                             ;311000;2396000;2016;0;0
0311-2412;ROZ-SUR-COUESNON                                            ;311000;2412000;;0;3,44799
0311-2428;JULLOUVILLE                                                 ;311000;2428000;;0;0
0311-2444;BREHAL                                                      ;311000;2444000;;0;0
0311-2460;SAINT-MALO-DE-LA-LANDE                                      ;311000;2460000;;0;0
0311-2476;LESSAY                                                      ;311000;2476000;2012;0;0
0311-2492;SAINT-SAUVEUR-LE-VICOMTE                                    ;311000;2492000;2015;0;0
0311-2508;BRICQUEBEC                                                  ;311000;2508000;2015;0;74,0288
0311-2524;CHERBOURG                                                   ;311000;2524000;2014;0;0
0327-1772;LARRAU                                                      ;327000;1772000;;0;0
0327-1788;MENDIVE                                                     ;327000;1788000;;0;363,32
0327-1804;AUSSURUCQ                                                   ;327000;1804000;;0;188,11
0327-1820;SAINT-PALAIS                                                ;327000;1820000;;0;42,5928
0327-1836;CAME                                                        ;327000;1836000;;0;182,399
0327-1852;POUILLON                                                    ;327000;1852000;;0;17,0246
0327-1868;DAX                                                         ;327000;1868000;;0;0
0327-1884;CASTETS                                                     ;327000;1884000;;0;0
0327-1900;ONESSE-ET-LAHARIE                                           ;327000;1900000;;0;0
0327-1916;ESCOURCE                                                    ;327000;1916000;;0;0
0327-1932;PARENTIS-EN-BORN                                            ;327000;1932000;;0;0
0327-1948;LE TEICH                                                    ;327000;1948000;;0;0
0327-1964;LA TESTE-DE-BUCH                                            ;327000;1964000;;0;0
0327-1980;ANDERNOS-LES-BAINS                                          ;327000;1980000;;0;0
0327-1996;LE PORGE                                                    ;327000;1996000;;0;0
